"index","order_id","date","status","fulfilment","sales_channel","ship_service_level","style","sku","category","size","asin","courier_status","qty","currency","amount","ship_city","ship_state","ship_postal_code","ship_country","promotion_ids","b2b","fulfilled_by","unnamed_22"
"64139","406-7188432-7395535","05-19-22","Shipped","Amazon","Amazon.in","Expedited","SET333","SET333-KR-DPT-XXL","Set","XXL","B09RKDZ461","Shipped","1","INR","967.0","Hyderabad","TELANGANA","500018.0","IN","IN Core Free Shipping 2015/04/08 23-48-5-108","False","","False"
"64140","405-2504636-5019558","05-19-22","Shipped","Amazon","Amazon.in","Expedited","JNE3365","JNE3365-KR-1052-A-M","kurta","M","B07WP5DYSW","Shipped","1","INR","376.0","ATCHUTAPURAM APSEZ","ANDHRA PRADESH","531061.0","IN","IN Core Free Shipping 2015/04/08 23-48-5-108","False","","False"
"64141","402-2879403-3716301","05-19-22","Shipped","Amazon","Amazon.in","Expedited","SET347","SET347-KR-NP-XS","Set","XS","B09RKFBMYD","Shipped","1","INR","852.0","GURUGRAM","HARYANA","122017.0","IN","IN Core Free Shipping 2015/04/08 23-48-5-108","False","","False"
"64142","404-1780794-2237102","05-19-22","Shipped","Amazon","Amazon.in","Expedited","JNE3797","JNE3797-KR-XXXL","Western Dress","3XL","B09SDY4VDC","Shipped","1","INR","771.0","Virar West","MAHARASHTRA","401302.0","IN","IN Core Free Shipping 2015/04/08 23-48-5-108","False","","False"
"64143","403-0427035-8546766","05-19-22","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3881","JNE3881-DR-L","Western Dress","L","B09VC3WSC9","Shipped","1","INR","825.0","BARASAT","WEST BENGAL","700124.0","IN","Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,VPC-44571-41445527 Coupon,Amazon PLCC Free-Financing Universal Merchant AAT-BAO77QKKMJQIM,Amazon PLCC Free-Financing Universal Merchant AAT-4ZN7U6MMDFGWM,Amazon PLCC Free-Financing Universal Merchant AAT-PAWHL2EB33U42,Amazon PLCC Free-Financing Universal Merchant AAT-7WX4JYESZISLU,Amazon PLCC Free-Financing Universal Merchant AAT-CIX56SGGAWUYW,Amazon PLCC Free-Financing Universal Merchant AAT-DMQVBJASKTAHS,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4","False","Easy Ship","False"
"64144","408-3313236-0608312","05-19-22","Shipped","Amazon","Amazon.in","Expedited","J0339","J0339-DR-XXL","Western Dress","XXL","B0982ZRDSY","Shipped","1","INR","825.0","SULLURU","ANDHRA PRADESH","524121.0","IN","IN Core Free Shipping 2015/04/08 23-48-5-108","False","","False"
"64145","171-2242673-7729145","05-19-22","Shipped","Amazon","Amazon.in","Expedited","JNE3601","JNE3601-KR-XS","kurta","XS","B08QJLTMRK","Shipped","1","INR","301.0","HYDERABAD","TELANGANA","500068.0","IN","","False","","False"
"64146","403-5463313-6309922","05-19-22","Cancelled","Merchant","Amazon.in","Standard","J0122","J0122-TP-XXL","Top","XXL","B08MYMMCXF","","0","INR","314.29","NEW DELHI","DELHI","110075.0","IN","","False","Easy Ship","False"
"64147","171-2383003-9375549","05-19-22","Shipped","Amazon","Amazon.in","Expedited","MEN5013","MEN5013-KR-XXL","kurta","XXL","B08YYZKDDX","Shipped","1","INR","709.0","AHMEDABAD","Gujarat","382350.0","IN","","False","","False"
"64148","407-4122258-8673907","05-19-22","Shipped","Amazon","Amazon.in","Expedited","J0285","J0285-SKD-M","Set","M","B08QGNW2H8","Shipped","1","INR","1523.0","ALIGARH","UTTAR PRADESH","202002.0","IN","IN Core Free Shipping 2015/04/08 23-48-5-108","False","","False"
